id.orig_p	id.resp_p	missed_bytes	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes
42199	22	0	1	40	0	0
41670	22	0	1	40	0	0
59646	22	0	1	40	0	0
58450	22	0	1	40	0	0
52326	22	0	1	40	0	0
42192	22	0	1	40	0	0
47360	22	0	1	40	0	0
39344	22	0	1	40	0	0
60092	22	0	1	40	0	0
35368	22	0	1	40	0	0
60835	22	0	1	40	0	0
44273	22	0	1	40	0	0
44663	22	0	1	40	0	0
53712	22	0	1	40	0	0
51266	22	0	1	40	0	0
59708	22	0	1	40	0	0
52507	22	0	1	40	0	0
44740	22	0	1	40	0	0
34562	22	0	1	40	0	0
57778	22	0	1	40	0	0
35995	22	0	1	40	0	0
40228	22	0	1	40	0	0
48203	22	0	1	40	0	0
40981	22	0	1	40	0	0
38126	22	0	1	40	0	0
46767	22	0	1	40	0	0
45425	22	0	1	40	0	0
55364	22	0	1	40	0	0
38786	22	0	1	40	0	0
54673	22	0	1	40	0	0
50487	22	0	1	40	0	0
57543	22	0	1	40	0	0
53581	22	0	1	40	0	0
51376	22	0	1	40	0	0
56131	22	0	1	40	0	0
39365	22	0	1	40	0	0
47718	22	0	1	40	0	0
45422	22	0	1	40	0	0
37592	22	0	1	40	0	0
34378	22	0	1	40	0	0
44101	22	0	1	40	0	0
45277	22	0	1	40	0	0
36813	22	0	1	40	0	0
55937	22	0	1	40	0	0
42311	22	0	1	40	0	0
52083	22	0	1	40	0	0
60912	22	0	1	40	0	0
57454	22	0	1	40	0	0
48610	22	0	1	40	0	0
59079	22	0	1	40	0	0
39860	22	0	1	40	0	0
35737	22	0	1	40	0	0
52734	22	0	1	40	0	0
42421	22	0	1	40	0	0
54637	22	0	1	40	0	0
45818	22	0	1	40	0	0
52680	22	0	1	40	0	0
38030	22	0	1	40	0	0
52918	22	0	1	40	0	0
43546	22	0	1	40	0	0
47152	22	0	1	40	0	0
41197	22	0	1	40	0	0
48800	22	0	1	40	0	0
36897	22	0	1	40	0	0
55316	22	0	1	40	0	0
56038	22	0	1	40	0	0
58915	22	0	1	40	0	0
47773	22	0	1	40	0	0
55960	22	0	1	40	0	0
50074	22	0	1	40	0	0
32899	22	0	1	40	0	0
58935	22	0	1	40	0	0
42866	22	0	1	40	0	0
38146	22	0	1	40	0	0
45197	22	0	1	40	0	0
48333	22	0	1	40	0	0
51587	22	0	1	40	0	0
60967	22	0	1	40	0	0
41209	22	0	1	40	0	0
57499	22	0	1	40	0	0
41325	22	0	1	40	0	0
54059	22	0	1	40	0	0
53734	22	0	1	40	0	0
54308	22	0	1	40	0	0
35304	22	0	1	40	0	0
47452	22	0	1	40	0	0
42319	22	0	1	40	0	0
51599	22	0	1	40	0	0
40544	22	0	1	40	0	0
54336	22	0	1	40	0	0
37258	22	0	1	40	0	0
46774	22	0	1	40	0	0
54941	22	0	1	40	0	0
55616	22	0	1	40	0	0
54193	22	0	1	40	0	0
59831	22	0	1	40	0	0
50482	22	0	1	40	0	0
55938	22	0	1	40	0	0
51525	22	0	1	40	0	0
58566	22	0	1	40	0	0
43467	22	0	1	40	0	0
33086	22	0	1	40	0	0
40568	22	0	1	40	0	0
54759	22	0	1	40	0	0
34226	22	0	1	40	0	0
44365	22	0	1	40	0	0
35490	22	0	1	40	0	0
34377	22	0	1	40	0	0
35128	22	0	1	40	0	0
33844	22	0	1	40	0	0
45865	22	0	1	40	0	0
44689	22	0	1	40	0	0
40893	22	0	1	40	0	0
41186	22	0	1	40	0	0
35394	22	0	1	40	0	0
53024	22	0	1	40	0	0
45699	22	0	1	40	0	0
58776	22	0	1	40	0	0
39646	22	0	1	40	0	0
56006	22	0	1	40	0	0
48534	22	0	1	40	0	0
52527	22	0	1	40	0	0
60689	22	0	1	40	0	0
51268	22	0	1	40	0	0
51944	22	0	1	40	0	0
44624	22	0	1	40	0	0
50427	22	0	1	40	0	0
47427	22	0	1	40	0	0
58725	22	0	1	40	0	0
35419	22	0	1	40	0	0
55110	22	0	1	40	0	0
36128	22	0	1	40	0	0
45714	22	0	1	40	0	0
50488	22	0	1	40	0	0
45489	22	0	1	40	0	0
36914	22	0	1	40	0	0
55192	22	0	1	40	0	0
39242	22	0	1	40	0	0
47927	22	0	1	40	0	0
34482	22	0	1	40	0	0
46123	22	0	1	40	0	0
42014	22	0	1	40	0	0
38660	22	0	1	40	0	0
42950	22	0	1	40	0	0
41597	22	0	1	40	0	0
57835	22	0	1	40	0	0
36323	22	0	1	40	0	0
49163	22	0	1	40	0	0
39156	22	0	1	40	0	0
60347	22	0	1	40	0	0
33671	22	0	1	40	0	0
58931	22	0	1	40	0	0
48534	22	0	1	40	0	0
41360	22	0	1	40	0	0
52577	22	0	1	40	0	0
36977	22	0	1	40	0	0
50985	22	0	1	40	0	0
45606	22	0	1	40	0	0
45434	22	0	1	40	0	0
54095	22	0	1	40	0	0
36544	22	0	1	40	0	0
48909	22	0	1	40	0	0
59545	22	0	1	40	0	0
57169	22	0	1	40	0	0
39675	22	0	1	40	0	0
44476	22	0	1	40	0	0
34839	22	0	1	40	0	0
54301	22	0	1	40	0	0
43347	22	0	1	40	0	0
53886	22	0	1	40	0	0
55602	22	0	1	40	0	0
46488	22	0	1	40	0	0
56900	22	0	1	40	0	0
58810	22	0	1	40	0	0
52625	22	0	1	40	0	0
38645	22	0	1	40	0	0
47216	22	0	1	40	0	0
51933	22	0	1	40	0	0
39888	22	0	1	40	0	0
44481	22	0	1	40	0	0
56892	22	0	1	40	0	0
46844	22	0	1	40	0	0
59321	22	0	1	40	0	0
